board,number,name,source
2,29,Multi Solo 1,SR-JV80-02_Orchestral_Waveform_List.pdf
2,30,Multi Solo 2,SR-JV80-02_Orchestral_Waveform_List.pdf
2,31,Vls Spicc A,SR-JV80-02_Orchestral_Waveform_List.pdf
2,32,Vls Spicc B,SR-JV80-02_Orchestral_Waveform_List.pdf
2,33,Vls Spicc C,SR-JV80-02_Orchestral_Waveform_List.pdf
2,34,Vas Spicc A,SR-JV80-02_Orchestral_Waveform_List.pdf
2,35,Vas Spicc B,SR-JV80-02_Orchestral_Waveform_List.pdf
2,36,Vas Spicc C,SR-JV80-02_Orchestral_Waveform_List.pdf
2,37,Vcs Spicc A,SR-JV80-02_Orchestral_Waveform_List.pdf
2,38,Vcs Spicc B,SR-JV80-02_Orchestral_Waveform_List.pdf
2,39,Vcs Spicc C,SR-JV80-02_Orchestral_Waveform_List.pdf
2,40,Cbs Spicc A,SR-JV80-02_Orchestral_Waveform_List.pdf
2,41,Cbs Spicc B,SR-JV80-02_Orchestral_Waveform_List.pdf
2,42,Cbs Spicc C,SR-JV80-02_Orchestral_Waveform_List.pdf
2,43,Multi Spicc,SR-JV80-02_Orchestral_Waveform_List.pdf
2,44,VlSolo Spicc,SR-JV80-02_Orchestral_Waveform_List.pdf
2,45,VcSolo Spicc,SR-JV80-02_Orchestral_Waveform_List.pdf
2,46,MultSl Spicc,SR-JV80-02_Orchestral_Waveform_List.pdf
2,47,STR Attack,SR-JV80-02_Orchestral_Waveform_List.pdf
2,48,Pizzicato 1,SR-JV80-02_Orchestral_Waveform_List.pdf
2,49,Pizzicato 2,SR-JV80-02_Orchestral_Waveform_List.pdf
2,50,Piccolo,SR-JV80-02_Orchestral_Waveform_List.pdf
2,51,Oboe 1A,SR-JV80-02_Orchestral_Waveform_List.pdf
2,52,Oboe 1B,SR-JV80-02_Orchestral_Waveform_List.pdf
2,53,Oboe 1C,SR-JV80-02_Orchestral_Waveform_List.pdf
2,54,Oboe 2A,SR-JV80-02_Orchestral_Waveform_List.pdf
2,55,Oboe 2B,SR-JV80-02_Orchestral_Waveform_List.pdf
2,56,Oboe 2C,SR-JV80-02_Orchestral_Waveform_List.pdf
2,57,Eng.Horn A,SR-JV80-02_Orchestral_Waveform_List.pdf
2,58,Eng.Horn B,SR-JV80-02_Orchestral_Waveform_List.pdf
2,59,Eng.Horn C,SR-JV80-02_Orchestral_Waveform_List.pdf
2,60,Clarinet,SR-JV80-02_Orchestral_Waveform_List.pdf
2,61,Bs Clarint,SR-JV80-02_Orchestral_Waveform_List.pdf
2,62,Multi Cla,SR-JV80-02_Orchestral_Waveform_List.pdf
2,63,Bassoon,SR-JV80-02_Orchestral_Waveform_List.pdf
2,64,Multi Reed,SR-JV80-02_Orchestral_Waveform_List.pdf
2,65,Tnr.Recorder,SR-JV80-02_Orchestral_Waveform_List.pdf
2,66,F.Horn Solo,SR-JV80-02_Orchestral_Waveform_List.pdf
2,67,F.Horn Sect1,SR-JV80-02_Orchestral_Waveform_List.pdf
2,68,F.Horn Sect2,SR-JV80-02_Orchestral_Waveform_List.pdf
2,69,F.Horn Mute,SR-JV80-02_Orchestral_Waveform_List.pdf
2,70,Trumpet 2,SR-JV80-02_Orchestral_Waveform_List.pdf
2,71,Flugelhorn,SR-JV80-02_Orchestral_Waveform_List.pdf
2,72,Cornet,SR-JV80-02_Orchestral_Waveform_List.pdf
2,73,HarmonMute2A,SR-JV80-02_Orchestral_Waveform_List.pdf
2,74,HarmonMute2B,SR-JV80-02_Orchestral_Waveform_List.pdf
2,75,HarmonMute2C,SR-JV80-02_Orchestral_Waveform_List.pdf
2,76,Solo Tb A,SR-JV80-02_Orchestral_Waveform_List.pdf
2,77,Solo Tb B,SR-JV80-02_Orchestral_Waveform_List.pdf
2,78,Solo Tb C,SR-JV80-02_Orchestral_Waveform_List.pdf
2,79,Bass Tb,SR-JV80-02_Orchestral_Waveform_List.pdf
2,80,Tb Sect,SR-JV80-02_Orchestral_Waveform_List.pdf
2,81,Tuba,SR-JV80-02_Orchestral_Waveform_List.pdf
2,82,BRS Ensemble,SR-JV80-02_Orchestral_Waveform_List.pdf
2,83,Brass ff,SR-JV80-02_Orchestral_Waveform_List.pdf
2,84,Full Orch.,SR-JV80-02_Orchestral_Waveform_List.pdf
2,85,Orch Hit Maj,SR-JV80-02_Orchestral_Waveform_List.pdf
2,86,Orch Hit Min,SR-JV80-02_Orchestral_Waveform_List.pdf
2,87,Orch Hit Dim,SR-JV80-02_Orchestral_Waveform_List.pdf
2,88,Choir A,SR-JV80-02_Orchestral_Waveform_List.pdf
2,89,Choir B,SR-JV80-02_Orchestral_Waveform_List.pdf
2,90,Choir C,SR-JV80-02_Orchestral_Waveform_List.pdf
2,91,F.Hrn Sc1 Lp,SR-JV80-02_Orchestral_Waveform_List.pdf
2,92,F.Hrn Sc2 Lp,SR-JV80-02_Orchestral_Waveform_List.pdf
2,93,F.Hrn MuteLp,SR-JV80-02_Orchestral_Waveform_List.pdf
2,94,Tb Sect Lp,SR-JV80-02_Orchestral_Waveform_List.pdf
2,95,BRS Ens Lp,SR-JV80-02_Orchestral_Waveform_List.pdf
2,96,ff Brass Lp,SR-JV80-02_Orchestral_Waveform_List.pdf
2,97,Full Orch Lp,SR-JV80-02_Orchestral_Waveform_List.pdf
2,98,Breath Wind,SR-JV80-02_Orchestral_Waveform_List.pdf
2,99,Breath Atack,SR-JV80-02_Orchestral_Waveform_List.pdf
2,100,Breath Whisl,SR-JV80-02_Orchestral_Waveform_List.pdf
2,101,Breath Hrmon,SR-JV80-02_Orchestral_Waveform_List.pdf
2,102,EuroPiano pA,SR-JV80-02_Orchestral_Waveform_List.pdf
2,103,EuroPiano pB,SR-JV80-02_Orchestral_Waveform_List.pdf
2,104,EuroPiano pC,SR-JV80-02_Orchestral_Waveform_List.pdf
2,105,EuroPiano fA,SR-JV80-02_Orchestral_Waveform_List.pdf
2,106,EuroPiano fB,SR-JV80-02_Orchestral_Waveform_List.pdf
2,107,EuroPiano fC,SR-JV80-02_Orchestral_Waveform_List.pdf
2,108,Harpsichord,SR-JV80-02_Orchestral_Waveform_List.pdf
2,109,Celesta A,SR-JV80-02_Orchestral_Waveform_List.pdf
2,110,Celesta B,SR-JV80-02_Orchestral_Waveform_List.pdf
2,111,Celesta C,SR-JV80-02_Orchestral_Waveform_List.pdf
2,112,Harp A,SR-JV80-02_Orchestral_Waveform_List.pdf
2,113,Harp B,SR-JV80-02_Orchestral_Waveform_List.pdf
2,114,Harp C,SR-JV80-02_Orchestral_Waveform_List.pdf
2,115,Glockenspiel,SR-JV80-02_Orchestral_Waveform_List.pdf
2,116,Xylophone,SR-JV80-02_Orchestral_Waveform_List.pdf
2,117,Bass Marimba,SR-JV80-02_Orchestral_Waveform_List.pdf
2,118,TubularBells,SR-JV80-02_Orchestral_Waveform_List.pdf
2,119,Church Bells,SR-JV80-02_Orchestral_Waveform_List.pdf
2,120,Timpani p,SR-JV80-02_Orchestral_Waveform_List.pdf
2,121,Timpani f,SR-JV80-02_Orchestral_Waveform_List.pdf
2,122,Timp Roll p,SR-JV80-02_Orchestral_Waveform_List.pdf
2,123,Timp Roll f,SR-JV80-02_Orchestral_Waveform_List.pdf
2,124,Concert SNR1,SR-JV80-02_Orchestral_Waveform_List.pdf
2,125,Concert SNR2,SR-JV80-02_Orchestral_Waveform_List.pdf
2,126,Concert SNR3,SR-JV80-02_Orchestral_Waveform_List.pdf
2,127,SNR Roll,SR-JV80-02_Orchestral_Waveform_List.pdf
2,128,Concert BD 1,SR-JV80-02_Orchestral_Waveform_List.pdf
2,129,Concert BD 2,SR-JV80-02_Orchestral_Waveform_List.pdf
2,130,Concert BD 3,SR-JV80-02_Orchestral_Waveform_List.pdf
2,131,BD Roll,SR-JV80-02_Orchestral_Waveform_List.pdf
2,132,Crash Cymbal,SR-JV80-02_Orchestral_Waveform_List.pdf
2,133,Crash Cym Lp,SR-JV80-02_Orchestral_Waveform_List.pdf
2,134,Cymbal Hit,SR-JV80-02_Orchestral_Waveform_List.pdf
2,135,Tam Tam,SR-JV80-02_Orchestral_Waveform_List.pdf
2,136,Gong,SR-JV80-02_Orchestral_Waveform_List.pdf
2,137,Perc Hit 1,SR-JV80-02_Orchestral_Waveform_List.pdf
2,138,Perc Hit 2,SR-JV80-02_Orchestral_Waveform_List.pdf
2,139,Triangle,SR-JV80-02_Orchestral_Waveform_List.pdf
2,140,Castanets 1,SR-JV80-02_Orchestral_Waveform_List.pdf
2,141,Castanets 2,SR-JV80-02_Orchestral_Waveform_List.pdf
2,142,Slapstick,SR-JV80-02_Orchestral_Waveform_List.pdf
2,143,Ratchet,SR-JV80-02_Orchestral_Waveform_List.pdf
2,144,Sleigh Bell,SR-JV80-02_Orchestral_Waveform_List.pdf
2,145,Tambourine,SR-JV80-02_Orchestral_Waveform_List.pdf
2,146,Wind Chime 2,SR-JV80-02_Orchestral_Waveform_List.pdf
2,147,Rev Hit Maj,SR-JV80-02_Orchestral_Waveform_List.pdf
2,148,Rev Hit Min,SR-JV80-02_Orchestral_Waveform_List.pdf
2,149,Rev Hit Dim,SR-JV80-02_Orchestral_Waveform_List.pdf
2,150,REV Bell,SR-JV80-02_Orchestral_Waveform_List.pdf
2,151,REV Timp 1,SR-JV80-02_Orchestral_Waveform_List.pdf
2,152,REV Timp 2,SR-JV80-02_Orchestral_Waveform_List.pdf
2,153,REV SNR 1,SR-JV80-02_Orchestral_Waveform_List.pdf
2,154,REV SNR 2,SR-JV80-02_Orchestral_Waveform_List.pdf
2,155,REV SNR 3,SR-JV80-02_Orchestral_Waveform_List.pdf
2,156,REV BD 1,SR-JV80-02_Orchestral_Waveform_List.pdf
2,157,REV BD 2,SR-JV80-02_Orchestral_Waveform_List.pdf
2,158,REV BD 3,SR-JV80-02_Orchestral_Waveform_List.pdf
2,159,REV BD Roll,SR-JV80-02_Orchestral_Waveform_List.pdf
2,160,REV Crash,SR-JV80-02_Orchestral_Waveform_List.pdf
2,161,REV Cym Hit,SR-JV80-02_Orchestral_Waveform_List.pdf
2,162,REV Tam Tam,SR-JV80-02_Orchestral_Waveform_List.pdf
2,163,REV Gong,SR-JV80-02_Orchestral_Waveform_List.pdf
2,164,REV PercHit1,SR-JV80-02_Orchestral_Waveform_List.pdf
2,165,REV PercHit2,SR-JV80-02_Orchestral_Waveform_List.pdf
2,166,REV Casta 1,SR-JV80-02_Orchestral_Waveform_List.pdf
2,167,REV Casta 2,SR-JV80-02_Orchestral_Waveform_List.pdf
2,168,REV S.Stick,SR-JV80-02_Orchestral_Waveform_List.pdf
2,169,REV Sleigh,SR-JV80-02_Orchestral_Waveform_List.pdf
2,170,REV Tamb,SR-JV80-02_Orchestral_Waveform_List.pdf
2,171,SNR Set,SR-JV80-02_Orchestral_Waveform_List.pdf
2,172,Perc Set 1,SR-JV80-02_Orchestral_Waveform_List.pdf
2,173,Perc Set 2,SR-JV80-02_Orchestral_Waveform_List.pdf
2,174,Perc Set 3,SR-JV80-02_Orchestral_Waveform_List.pdf
